PERMNO,date,TICKER,RET,vwretd
14008,9/30/2021,AMGN,-0.05711,-0.042243
14008,10/29/2021,AMGN,-0.026711,0.064651
14008,11/30/2021,AMGN,-0.030584,-0.01835
14008,12/31/2021,AMGN,0.131185,0.033341
14008,1/31/2022,AMGN,0.009646,-0.059822
14008,2/28/2022,AMGN,0.005635,-0.021838
14008,3/31/2022,AMGN,0.067732,0.030506
14008,4/29/2022,AMGN,-0.035688,-0.089387
14008,5/31/2022,AMGN,0.10931,-0.002108
14008,6/30/2022,AMGN,-0.052349,-0.084
14008,7/29/2022,AMGN,0.017139,0.090352
14008,8/31/2022,AMGN,-0.021134,-0.03624
14008,9/30/2022,AMGN,-0.062006,-0.091324
14008,10/31/2022,AMGN,0.199423,0.077403
14008,11/30/2022,AMGN,0.066543,0.052365
14008,12/30/2022,AMGN,-0.082961,-0.057116
14542,1/31/2018,GOOG,0.118062,0.050638
14542,2/28/2018,GOOG,-0.055738,-0.039481
14542,3/29/2018,GOOG,-0.066025,-0.018445
14542,4/30/2018,GOOG,-0.014015,0.004692
14542,5/31/2018,GOOG,0.066507,0.026164
14542,6/29/2018,GOOG,0.028258,0.005365
14542,7/31/2018,GOOG,0.091077,0.031604
14542,8/31/2018,GOOG,0.000764,0.030233
14542,9/28/2018,GOOG,-0.020292,0.000425
14542,10/31/2018,GOOG,-0.097782,-0.074045
14542,11/30/2018,GOOG,0.016401,0.018512
14542,12/31/2018,GOOG,-0.053745,-0.08989
14542,1/31/2019,GOOG,0.077983,0.088294
14542,2/28/2019,GOOG,0.00318,0.032724
14542,3/29/2019,GOOG,0.047673,0.012962
14542,4/30/2019,GOOG,0.012929,0.037893
14542,5/31/2019,GOOG,-0.071394,-0.061679
14542,6/28/2019,GOOG,-0.020587,0.067279
14542,7/31/2019,GOOG,0.125607,0.011854
14542,8/30/2019,GOOG,-0.02349,-0.020339
14542,9/30/2019,GOOG,0.026008,0.016033
14542,10/31/2019,GOOG,0.033724,0.019257
14542,11/29/2019,GOOG,0.035592,0.034999
14542,12/31/2019,GOOG,0.024568,0.028489
14542,1/31/2020,GOOG,0.072706,-0.001728
14542,2/28/2020,GOOG,-0.066168,-0.077918
14542,3/31/2020,GOOG,-0.131797,-0.141733
14542,4/30/2020,GOOG,0.159828,0.129674
14542,5/29/2020,GOOG,0.059511,0.053739
14542,6/30/2020,GOOG,-0.010714,0.025299
14542,7/31/2020,GOOG,0.049059,0.055531
14542,8/31/2020,GOOG,0.101972,0.068442
14542,9/30/2020,GOOG,-0.100711,-0.035056
